LINHA,TIPO_EMBARCACAO,MAT_CASCO,COMPRIMENTO,BOCA,CALADO,PONTAL,POTENCIA,VELOCIDADE,NUM_PROP,TPB,DESLOC_LEVE,NUM_GERADORES,CAP_PASSAGEIROS,CAP_CARGA,TRIPULANTES,DURACAO_VIAGEM,CONSUMO_COMBUSTIVEL
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,5.2,0.75,1.15,290,13,1,109,21,1,47,35,3,12.0,300.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,21.8,5.3,1.1,1.85,149,9,1,109,21,1,55,48,3,12.0,250.0
BELEM - ACARA NOVO,PASSAGEIRO,MADEIRA,8.0,2.5,1.0,1.2,113,10,1,29,7,1,10,0,2,3.0,10.0
BELEM - ACARA NOVO,PASSAGEIRO,MADEIRA,10.0,2.5,0.8,1.0,350,12,1,29,7,0,10,0,2,2.3,12.0
SANTAREM - SANTANA DO TAPARA,FERRY BOAT,ACO NAVAL,62.5,14.0,1.9,1.9,600,10,2,528,98,0,423,800,4,3.0,130.0
BELEM - MUANA,PASSAGEIRO/CARGA GERAL,MADEIRA,16.7,3.8,1.0,1.4,110,8,1,109,21,1,10,17,3,10.0,200.0
BELEM - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,16.0,3.8,1.0,1.5,114,12,1,109,21,1,12,10,3,18.0,350.0
BELEM - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,15.0,13.35,1.6,1.6,114,10,1,109,21,1,30,0,3,15.0,250.0
BELEM - CACHOEIRA DO ARARI,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,4.3,1.3,1.7,290,15,1,109,21,1,40,80,4,6.0,150.0
SANTANA - LARANJAL  DO JARI,PASSAGEIRO/CARGA GERAL,MADEIRA,28.0,6.8,1.65,2.15,440,12,2,109,21,2,151,80,5,24.0,600.0
SANTANA - BREVES,FERRY BOAT,ACO NAVAL,27.1,7.04,1.2,1.45,600,12,1,528,98,2,160,80,4,12.0,700.0
SANTANA - GURUPA,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,4.8,1.0,1.45,180,14,2,109,21,2,50,30,6,7.0,250.0
ICOARACI - CAMARA,FERRY BOAT,ACO NAVAL,63.0,12.0,1.2,1.6,420,12,2,528,98,2,436,300,6,2.3,400.0
ICOARACI - PONTA DE PEDRAS,FERRY BOAT,ACO NAVAL,35.0,11.0,1.8,2.1,350,10,2,528,98,2,179,108,4,4.0,300.0
ICOARACI - CAMARA,FERRY BOAT,ACO NAVAL,66.0,12.0,2.2,4.75,700,11,2,528,98,2,446,790,6,2.3,600.0
MANAUS - PARINTINS,LANCHA,ACO NAVAL,21.1,3.1,1.0,1.2,552,15,2,21,6,0,70,0,4,8.0,400.0
MANAUS - PARINTINS,LANCHA,ACO NAVAL,10.0,3.0,1.5,2.0,130,18,1,21,6,0,44,0,3,8.0,400.0
MANAUS - URUCARA,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,7.0,1.8,2.5,420,16,3,109,21,2,105,120,6,12.0,250.0
MANAUS - CACAU PEREIRA,PASSAGEIRO,ALUMINIO,13.51,2.6,1.5,1.9,294,15,1,27,6,2,40,10,1,0.3,10.0
MANAUS - ANORI,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,6.0,2.5,2.8,350,12,1,109,21,2,80,40,3,20.0,400.0
TEFE - MARAA,CHATA,ACO NAVAL,30.0,8.0,1.35,1.7,280,18,1,30,5,1,215,60,7,22.0,600.0
TEFE - UARINI,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,6.0,1.6,1.8,100,12,1,109,21,1,12,50,3,6.0,120.0
TEFE - MARAA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,27.0,6.5,1.6,2.0,170,16,1,330,64,1,140,83,6,22.0,600.0
VITORIA DO XINGU - PORTO DE MOZ,LANCHA,ALUMINIO,21.0,3.6,1.0,1.7,410,15,1,35,7,0,80,0,3,3.0,250.0
VITORIA DO XINGU - PORTO DE MOZ,LANCHA,ALUMINIO,24.0,7.0,1.4,1.8,400,20,1,35,7,1,72,0,5,3.0,300.0
MANICORE - NOVO ARIPUANA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,41.02,9.0,2.06,2.6,600,18,1,330,64,2,303,120,7,8.0,700.0
SANTANA - LARANJAL  DO JARI,PASSAGEIRO/CARGA GERAL,MADEIRA,25.7,6.2,1.57,2.0,270,40,2,109,21,2,145,80,6,26.0,700.0
SANTANA - LARANJAL  DO JARI,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,7.0,1.6,2.0,290,18,1,109,21,1,90,120,4,18.0,600.0
